::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734369272226-152844924.jpg HTTP/1.1" 200 211476 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734453323691-299220358.jpg HTTP/1.1" 200 86252 "-" "node"
::1 - - [19/Dec/2024:15:11:41 +0000] "GET /uploads/image-1734532166191-140283467.jpg HTTP/1.1" 200 176927 "-" "node"
::1 - - [19/Dec/2024:15:11:42 +0000] "GET /api/products/210 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:43 +0000] "GET /api/products?limit=12 HTTP/1.1" 200 3041 "http://localhost:3000/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /api/top-products HTTP/1.1" 200 2487 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /api/products?limit=10 HTTP/1.1" 200 2552 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /api/category-products?page=1&limit=20&category= HTTP/1.1" 200 5021 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:11:59 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734284252650-170860644.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734373132323-461983744.jpg HTTP/1.1" 200 42527 "-" "node"
::1 - - [19/Dec/2024:15:12:00 +0000] "GET /uploads/image-1734447890795-559010609.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:12:01 +0000] "GET /uploads/image-1734453419673-683818863.png HTTP/1.1" 200 113843 "-" "node"
::1 - - [19/Dec/2024:15:12:01 +0000] "GET /uploads/image-1734369497216-723639326.jpg HTTP/1.1" 200 20419 "-" "node"
::1 - - [19/Dec/2024:15:12:01 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:12:04 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734369013413-904178410.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734368940676-165713508.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734285368923-742201412.jpg HTTP/1.1" 200 77648 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734284460485-859706903.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:05 +0000] "GET /uploads/image-1734284304394-171721024.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:07 +0000] "GET /uploads/image-1734284174394-295897489.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:07 +0000] "GET /uploads/image-1734454344471-327032196.jpg HTTP/1.1" 200 358262 "-" "node"
::1 - - [19/Dec/2024:15:14:08 +0000] "GET /api/category-products?page=1&limit=20&category=12 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:14:08 +0000] "GET /uploads/image-1734284135265-509767447.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:08 +0000] "GET /uploads/image-1734284290212-961968752.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:08 +0000] "GET /uploads/image-1734284435617-769861681.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:09 +0000] "GET /uploads/image-1734284574045-794149531.png HTTP/1.1" 200 671419 "-" "node"
::1 - - [19/Dec/2024:15:14:09 +0000] "GET /api/products/214 HTTP/1.1" 200 275 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36"
::1 - - [19/Dec/2024:15:14:09 +0000] "GET /uploads/image-1734360987613-950063243.png HTTP/1.1" 200 1789750 "-" "node"
